10540: Registrerte arbeidsledige (prosent), etter alder, måned, statistikkvariabel og region;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alder;måned;statistikkvariabel;1101 Eigersund;1102 Sandnes (-2019);1103 Stavanger;1106 Haugesund;1111 Sokndal;1112 Lund;1114 Bjerkreim;1119 Hå;1120 Klepp;1121 Time;1122 Gjesdal;1124 Sola;1127 Randaberg;1129 Forsand (-2019);1130 Strand;1133 Hjelmeland;1134 Suldal;1135 Sauda;1141 Finnøy (-2019);1142 Rennesøy (-2019);1144 Kvitsøy;1145 Bokn;1146 Tysvær;1149 Karmøy;1151 Utsira;1154 Vindafjord (1965-2005)
15-74 år;1999M01;Registrert helt arbeidsledige;01.mai;02.feb;02.jun;02.mai;02.jul;1.0;0.8;1.0;01.mar;01.mar;01.mar;01.jul;01.jan;01.jul;01.jun;1.0;01.sep;04.apr;0.8;01.feb;01.mai;0.2;01.mai;02.jul;0.0;01.apr
15-74 år;1999M02;Registrert helt arbeidsledige;01.mai;02.feb;02.mai;02.jun;02.feb;01.feb;01.apr;0.9;01.mar;01.mar;01.feb;01.jun;1.0;01.mar;01.aug;1.0;01.apr;03.jul;0.8;0.9;0.4;0.9;01.mai;02.mai;04.apr;1.0
15-74 år;1999M03;Registrert helt arbeidsledige;01.mar;02.feb;02.jun;02.apr;02.jun;0.8;0.8;1.0;1.0;01.mar;01.feb;01.jul;01.jan;01.mai;01.jun;01.feb;01.mar;4.0;0.8;01.jan;01.mai;0.2;01.mar;02.mai;0.0;0.9
15-74 år;1999M04;Registrert helt arbeidsledige;01.aug;02.jan;02.mai;02.mai;02.jan;0.8;01.jan;0.9;01.feb;01.feb;1.0;01.jul;01.jan;01.mai;01.aug;1.0;01.jan;03.mai;0.6;01.feb;01.mai;0.9;01.mar;02.apr;0.0;0.9
15-74 år;1999M05;Registrert helt arbeidsledige;01.mar;2.0;02.mar;02.feb;01.jun;0.8;0.7;0.8;01.jan;1.0;01.apr;01.mai;1.0;0.8;01.apr;0.6;0.9;02.jul;0.3;0.8;0.8;0.7;1.0;2.0;03.mai;0.8
15-74 år;1999M06;Registrert helt arbeidsledige;01.apr;02.mar;02.jun;02.jun;2.0;0.9;0.8;0.9;01.feb;01.mar;01.apr;01.aug;01.jan;1.0;01.mai;0.6;01.jan;04.jan;0.4;0.7;01.jan;0.7;01.mar;02.apr;0.0;01.mar
15-74 år;1999M07;Registrert helt arbeidsledige;2.0;02.jul;3.0;03.feb;02.mar;01.jun;0.8;1.0;01.mai;01.jun;01.apr;02.jan;01.mar;0.8;02.mai;01.feb;01.jan;03.mar;0.3;01.feb;01.jan;0.9;01.sep;3.0;05.mar;01.jan
15-74 år;1999M08;Registrert helt arbeidsledige;02.apr;02.jul;03.feb;03.sep;02.apr;01.mar;0.9;01.feb;01.mar;01.jun;01.mai;02.jan;01.mai;1.0;02.feb;01.jan;0.8;03.mar;0.4;01.mar;02.jun;01.apr;01.sep;03.feb;0.0;01.apr
15-74 år;1999M09;Registrert helt arbeidsledige;01.sep;02.apr;02.sep;4.0;01.sep;0.9;1.0;01.jan;01.feb;01.mar;01.jul;02.jan;01.jun;01.jan;02.jan;1.0;01.mar;03.feb;0.6;0.9;02.mar;0.9;01.aug;03.apr;01.aug;01.feb
15-74 år;1999M10;Registrert helt arbeidsledige;01.jun;02.apr;3.0;04.jan;2.0;0.8;0.4;01.feb;01.mar;01.mar;01.mai;2.0;01.mai;01.mar;02.apr;0.9;01.mai;4.0;0.8;0.8;01.sep;02.apr;01.aug;03.apr;0.0;01.apr
